#
# MD1: a minimal molecular dynamics program
#
# title
#  Input sample: coor.in
#                                (only positions read from file)
# Output sample: coor.out
# Number of steps:     100, time step: 0.0032, total time:      0.3200
# Number of atoms:   500
# Box size:    6.250000    6.250000    6.250000, Volume:        244.141
# Density:    2.048000 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
     93      4.930268      7.395403     56.179680     63.575083    709.047161
     94      4.846610      7.269915     56.310558     63.580473    709.999175
     95      4.945175      7.417763     56.146239     63.564002    708.767614
     96      5.085988      7.628982     55.922152     63.551134    707.100010
     97      5.134328      7.701492     55.848321     63.549813    706.546953
     98      5.078425      7.617638     55.943612     63.561249    707.255536
     99      5.018678      7.528016     56.041656     63.569673    707.996187
    100      5.026404      7.539607     56.024343     63.563950    707.879827
#
# Means      5.079726      7.619589     55.933591     63.553180    707.286468
